#FractureId
0
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;0;4
6;4;1
7;3;5
8;5;0
9;6;7
10;1;6
11;6;2
12;2;7
13;7;3
14;8;9
15;4;8
16;8;5
17;5;9
18;9;0
19;10;11
20;4;10
21;10;1
22;4;11
23;11;5
24;12;13
25;2;12
26;12;7
27;6;13
28;13;7
29;14;15
30;8;14
31;14;5
32;8;15
33;15;9
34;16;17
35;6;16
36;16;7
37;11;17
38;17;5
39;18;19
40;2;18
41;18;12
42;6;19
43;19;13
44;20;21
45;10;20
46;20;1
47;6;21
48;21;16
49;22;23
50;0;22
51;22;4
52;4;23
53;23;8
54;24;25
55;10;24
56;24;11
57;4;25
58;25;11
59;26;27
60;20;26
61;26;21
62;10;27
63;27;11
64;28;29
65;12;28
66;28;7
67;12;29
68;29;13

#FractureId
1
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;0;4
6;4;1
7;3;5
8;5;0
9;6;7
10;1;6
11;6;2
12;2;7
13;7;3

#FractureId
2
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;2;4
6;4;3
7;3;5
8;5;0
9;6;7
10;1;6
11;6;2
12;4;7
13;7;5
14;8;9
15;3;8
16;8;5
17;4;9
18;9;5
19;10;11
20;0;10
21;10;1
22;6;11
23;11;7
24;12;13
25;4;12
26;12;7
27;6;13
28;13;7
29;14;15
30;3;14
31;14;8
32;4;15
33;15;9
34;16;17
35;12;16
36;16;7
37;12;17
38;17;13
39;18;19
40;0;18
41;18;10
42;11;19
43;19;7
44;20;21
45;16;20
46;20;7
47;13;21
48;21;7

#FractureId
3
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;1;4
6;4;2
7;2;5
8;5;3
9;6;7
10;0;6
11;6;1
12;5;7
13;7;3
14;8;9
15;0;8
16;8;6
17;6;9
18;9;7
19;10;11
20;4;10
21;10;5
22;6;11
23;11;7
24;12;13
25;9;12
26;12;7
27;7;13
28;13;3
29;14;15
30;6;14
31;14;1
32;10;15
33;15;11
34;16;17
35;11;16
36;16;7
37;10;17
38;17;11
39;18;19
40;12;18
41;18;7
42;12;19
43;19;13
44;20;21
45;5;20
46;20;7
47;16;21
48;21;7
49;22;23
50;2;22
51;22;5
52;4;23
53;23;5
54;24;25
55;14;24
56;24;1
57;10;25
58;25;15
59;26;27
60;10;26
61;26;5
62;10;27
63;27;17
64;28;29
65;13;28
66;28;3
67;3;29
68;29;0

#FractureId
4
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;1;4
6;4;2
7;3;5
8;5;0
9;6;7
10;0;6
11;6;1
12;4;7
13;7;5
14;8;9
15;2;8
16;8;3
17;4;9
18;9;5
19;10;11
20;0;10
21;10;6
22;7;11
23;11;5
24;12;13
25;2;12
26;12;8
27;8;13
28;13;9
29;14;15
30;9;14
31;14;5
32;8;15
33;15;9
34;16;17
35;10;16
36;16;6
37;7;17
38;17;11
39;18;19
40;8;18
41;18;3
42;14;19
43;19;5

#FractureId
5
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;0;4
6;4;1
7;2;5
8;5;3
9;6;7
10;1;6
11;6;2
12;2;7
13;7;5
14;8;9
15;4;8
16;8;1
17;6;9
18;9;7

#FractureId
6
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;1;4
6;4;2
7;3;5
8;5;0
9;6;7
10;4;6
11;6;5
12;5;7
13;7;0
14;8;9
15;2;8
16;8;3
17;4;9
18;9;5
19;10;11
20;0;10
21;10;1
22;4;11
23;11;6
24;12;13
25;2;12
26;12;8
27;4;13
28;13;9
29;14;15
30;1;14
31;14;4
32;4;15
33;15;11
34;16;17
35;12;16
36;16;13
37;4;17
38;17;13
39;18;19
40;8;18
41;18;9
42;12;19
43;19;13
44;20;21
45;10;20
46;20;1
47;15;21
48;21;11
49;22;23
50;17;22
51;22;13
52;16;23
53;23;17

#FractureId
7
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;0;4
6;4;1
7;3;5
8;5;0
9;6;7
10;4;6
11;6;1
12;2;7
13;7;3
14;8;9
15;6;8
16;8;7
17;3;9
18;9;5
19;10;11
20;6;10
21;10;1
22;6;11
23;11;7
24;12;13
25;6;12
26;12;8
27;9;13
28;13;5
29;14;15
30;10;14
31;14;11
32;6;15
33;15;11
34;16;17
35;0;16
36;16;4
37;4;17
38;17;5
39;18;19
40;12;18
41;18;13
42;4;19
43;19;5
44;20;21
45;8;20
46;20;9
47;12;21
48;21;13
49;22;23
50;16;22
51;22;4
52;4;23
53;23;17
54;24;25
55;12;24
56;24;18
57;4;25
58;25;19
59;26;27
60;4;26
61;26;6
62;12;27
63;27;24

#FractureId
8
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;1;4
6;4;2
7;3;5
8;5;0
9;6;7
10;4;6
11;6;2
12;3;7
13;7;5
14;8;9
15;0;8
16;8;1
17;4;9
18;9;5
19;10;11
20;7;10
21;10;5
22;4;11
23;11;5
24;12;13
25;0;12
26;12;8
27;9;13
28;13;5
29;14;15
30;7;14
31;14;10
32;10;15
33;15;11
34;16;17
35;11;16
36;16;5
37;10;17
38;17;11
39;18;19
40;3;18
41;18;7
42;6;19
43;19;7
44;20;21
45;6;20
46;20;7
47;14;21
48;21;15
49;22;23
50;10;22
51;22;15
52;14;23
53;23;15
54;24;25
55;16;24
56;24;5
57;10;25
58;25;17

#FractureId
9
Id;Origin;End
0;0;1
1;1;2
2;2;3
3;3;0
4;4;5
5;0;4
6;4;1
7;2;5
8;5;3
9;6;7
10;4;6
11;6;5
12;5;7
13;7;3
14;8;9
15;1;8
16;8;2
17;4;9
18;9;5
19;10;11
20;0;10
21;10;4
22;6;11
23;11;7
24;12;13
25;6;12
26;12;5
27;6;13
28;13;7

