# Number of Traces
25
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 2.4797594176399795e-01; 6.8965726581293574e-01; 5.9704177318758545e-01; 2.3880707383785374e-01; 8.9069705098316820e-01; 3.0316445711141893e-01
1; 0; 3; 4.0708278164596434e-01; 7.9290720807197546e-01; 1.9054541882460188e-01; 5.8999373653052933e-01; 4.4144071634950049e-01; 4.4396472235343143e-01
2; 0; 4; 3.2254187219113339e-01; 8.0613991009295360e-01; 3.0215171572568267e-01; 4.7935223692995654e-01; 7.1935781179987601e-01; 1.9054542365205804e-01
3; 0; 5; 4.2720007184717623e-01; 5.0725896375078094e-01; 5.9704177179083584e-01; 4.2509941987357297e-01; 5.1061528343844131e-01; 5.9517394211932928e-01
4; 0; 6; 1.6036270610071340e-01; 9.4551882162427348e-01; 3.4150614695184878e-01; 4.2436810524875390e-01; 5.4440696985885673e-01; 5.4451429239105154e-01
5; 0; 7; 4.4995360538545215e-01; 7.0894723121709702e-01; 2.5236863514713970e-01; 3.2951089390531924e-01; 6.0667827801321605e-01; 5.9704177318758545e-01
6; 0; 8; 5.5413802548978963e-01; 3.9249192803981503e-01; 5.7493823038346925e-01; 4.2284129691097044e-01; 7.7686959636876207e-01; 1.9054542365205804e-01
7; 1; 3; 1.0881373082362662e+00; 4.4643030085536650e-01; 3.5788140859061351e-01; 9.3219303135978371e-01; 4.3397286253601053e-01; 3.9361989349212628e-01
8; 1; 4; 8.5173955805656820e-01; 3.4560801167089628e-01; -6.6465853697986910e-02; 5.5471520734535484e-01; 3.4775302217972370e-01; 1.5270184887525889e-01
9; 2; 3; 2.0417828747591271e-01; 6.9474303602018961e-01; 3.0316446165805844e-01; 1.9507930184278266e-01; 5.2207571155013610e-01; 4.4396472271653875e-01
10; 2; 6; 3.1586681090739327e-01; 1.2629596006855393e+00; 3.7728990055037992e-01; 1.6201266908964554e-01; 3.4403894032329363e-01; 4.3341741265704259e-01
11; 2; 7; 1.4992041194364300e-01; 3.2337674116419213e-01; 3.7791908500423987e-01; 2.8390199813548167e-01; 6.0447332336244575e-01; 9.3223134394306240e-01
12; 2; 9; 1.7967345501598847e-01; 3.1811881423691135e-01; 5.7965360031255264e-01; 2.4842593923050477e-01; 6.1136117504664811e-01; 6.9097435556613696e-01
13; 3; 4; 3.3136923093103038e-01; 6.7002807241578666e-01; 3.0215171471972946e-01; 6.9639825420262746e-01; 9.4588367867908041e-01; 1.9471647211395382e-02
14; 3; 6; 1.0670416756495554e-01; 6.4697132261869872e-01; 3.5776151780177212e-01; 2.2958430512164563e-01; 5.1503035964802124e-01; 4.4396472348114868e-01
15; 3; 7; 4.4904254214301065e-01; 7.0770840192655060e-01; 2.5236864127215020e-01; 2.7533021688660064e-01; 5.0568979953059090e-01; 4.4396472475230220e-01
16; 3; 8; 5.2384452704116380e-01; 4.5494728894442160e-01; 4.4396472386226160e-01; 3.7256732079784405e-01; 9.4350950026490565e-01; 7.4730879251513338e-02
17; 4; 7; 4.0063103886360807e-01; 6.4188021373584658e-01; 2.5236863264231224e-01; 3.3813028367140940e-01; 5.6577743723837681e-01; 3.0215170550162562e-01
18; 4; 8; 5.0882296823253437e-01; 3.6599889385835466e-01; 1.8570703560470095e-01; 3.8093142507956951e-01; 1.0120548523369961e+00; 2.4918867218575286e-01
19; 5; 8; 5.1998413283631584e-01; 5.7290961609388358e-01; 6.0460397706928715e-01; 5.7190591957048986e-01; 3.7929721683178963e-01; 6.8953864351406080e-01
20; 5; 9; 2.0617557652923924e-01; 3.0478333825381865e-01; 5.9517393852726375e-01; 4.5619117271845810e-01; 1.4373635672658513e-01; 7.3395089349670872e-01
21; 6; 7; 4.5218760567331218e-01; 7.6094491828914268e-01; 5.2674129215327792e-01; 1.5875417030428329e-01; 3.4495374064578666e-01; 4.3152253378032029e-01
22; 6; 8; 4.7792179209489910e-01; 7.3516415738819052e-01; 5.4451429797257989e-01; 3.2768093769747486e-01; 1.3407694409886428e+00; 3.7188316488790857e-01
23; 7; 8; 4.5973893666126048e-01; 7.5539147913657412e-01; 4.3807751010277934e-01; 4.4629359067258179e-01; 7.0397047744283636e-01; 2.5236863514713975e-01
24; 7; 9; 3.1168965419801914e-01; 6.0687613067469437e-01; 7.3395088826705490e-01; 6.4940012088508026e-02; 2.2603760513256244e-01; 4.7999122861848154e-01
