# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
67; 0; 1.1129192957417104e+00
50; 0; 8.0634954591475849e-01
29; 0; 7.6453158276338273e-01
2; 0; 7.5225517658242136e-01
18; 0; 7.4040238197283992e-01
90; 0; 7.3654452581334307e-01
12; 0; 7.3493073369004780e-01
14; 0; 5.4775223423320007e-01
4; 0; 4.6702630802276895e-01
61; 0; 4.4491073224406485e-01
22; 0; 4.4053944327913414e-01
63; 0; 4.3415190961582995e-01
94; 0; 3.8210751924045810e-01
43; 0; 3.4696866291332229e-01
95; 0; 2.7637830723645312e-01
9; 0; 2.7396767024799806e-01
93; 0; 2.3505114564765245e-01
44; 0; 2.1895340444068900e-01
80; 0; 1.7623062008745310e-01
3; 0; 9.5786183959665844e-02
52; 0; 1.4755596507664820e-05
16; 1; 1.1737748671109645e+00
53; 1; 1.1159765612305745e+00
30; 1; 1.0893653478540235e+00
81; 1; 1.0698983530997819e+00
51; 1; 1.0664012172880015e+00
56; 1; 8.6772088985247275e-01
5; 1; 7.9298622596375978e-01
78; 1; 7.8516554242760783e-01
19; 1; 7.5371325015753832e-01
39; 1; 7.5073285151483771e-01
88; 1; 7.4671148850228153e-01
100; 1; 7.2847158493664865e-01
62; 1; 7.2837736939575271e-01
48; 1; 7.2625942606240801e-01
15; 1; 7.1485641658419741e-01
99; 1; 7.0085474343646958e-01
98; 1; 6.9315943103312339e-01
54; 1; 6.6607382248204650e-01
36; 1; 6.6059463679318453e-01
0; 1; 6.5583555096543467e-01
96; 1; 6.3948973010226318e-01
28; 1; 6.2886958431200390e-01
70; 1; 6.2111599869644829e-01
105; 1; 6.1889571069006533e-01
31; 1; 6.1850191556987655e-01
85; 1; 6.1481595200891215e-01
6; 1; 6.1265712351902113e-01
87; 1; 6.0654311663326366e-01
71; 1; 5.8654172473584365e-01
21; 1; 5.8637558461096917e-01
34; 1; 5.8409648102294609e-01
101; 1; 5.8240656540617353e-01
74; 1; 5.8001487610812119e-01
110; 1; 5.4803256458215666e-01
46; 1; 5.4748317457426954e-01
40; 1; 5.2750958848261942e-01
58; 1; 5.2534524671821636e-01
64; 1; 5.2115674485589736e-01
68; 1; 5.2115009061376816e-01
66; 1; 5.2012055688731595e-01
45; 1; 5.1452470999722411e-01
108; 1; 4.9736256153109626e-01
37; 1; 4.8795395928181473e-01
7; 1; 4.7031706672355778e-01
59; 1; 4.4458611538045140e-01
23; 1; 4.4025488318630634e-01
102; 1; 4.3630212355719683e-01
111; 1; 4.3164593182822369e-01
13; 1; 4.3135255966319097e-01
38; 1; 4.3107416782583807e-01
76; 1; 4.1800557256228565e-01
83; 1; 4.1509557333462455e-01
8; 1; 4.1148391845808208e-01
25; 1; 4.0203555917989875e-01
82; 1; 3.8492850886109842e-01
106; 1; 3.8338696838409375e-01
11; 1; 3.7664568297153256e-01
97; 1; 3.7488649826279818e-01
27; 1; 3.6986339736091989e-01
42; 1; 3.6116491513712340e-01
33; 1; 3.5053759884202684e-01
103; 1; 3.4710732806097072e-01
86; 1; 3.4294539967418192e-01
104; 1; 3.4045105596933323e-01
75; 1; 3.2114366235100833e-01
79; 1; 3.1171369323265402e-01
84; 1; 2.9479338863718790e-01
69; 1; 2.7562843948924842e-01
32; 1; 2.6462844056645685e-01
47; 1; 2.6042537055334536e-01
55; 1; 2.5823741526145305e-01
109; 1; 2.5763383838336673e-01
26; 1; 2.5021642685839751e-01
91; 1; 2.4982493500823993e-01
41; 1; 2.4179646056987633e-01
65; 1; 2.3527177804675009e-01
49; 1; 2.0696438822437460e-01
10; 1; 1.9350014901489970e-01
24; 1; 1.8281592019467294e-01
77; 1; 1.8028655663044707e-01
1; 1; 1.7923460052991788e-01
112; 1; 1.6660416543860015e-01
57; 1; 1.5879145026331132e-01
72; 1; 1.3421577615679312e-01
35; 1; 1.3345118095928457e-01
17; 1; 1.1327552058972795e-01
20; 1; 9.9596458273670876e-02
92; 1; 7.7914475943534581e-02
60; 1; 6.5378341621365660e-02
107; 1; 2.1666131709250774e-02
73; 1; 1.6433154967809734e-02
89; 1; 1.0938159218205372e-02
# FractureId; NumTraces
1; 93
# TraceId; Tips; Length
163; 0; 7.2296072084838825e-01
182; 0; 6.9062413134968503e-01
134; 0; 2.1656228151199405e-01
197; 0; 1.2333868598891745e-01
125; 1; 1.4191526182296037e+00
158; 1; 1.3131270394307681e+00
176; 1; 1.2805108048354343e+00
178; 1; 1.2196218811278408e+00
150; 1; 1.1817039168628491e+00
180; 1; 1.1699395491229441e+00
117; 1; 1.0834608053689816e+00
145; 1; 1.0521073256948921e+00
136; 1; 1.0328059398939766e+00
149; 1; 1.0272281451091858e+00
157; 1; 1.0238519391210832e+00
138; 1; 1.0149089111651208e+00
170; 1; 1.0023628990661246e+00
115; 1; 9.8967473624912283e-01
151; 1; 9.5469727634112889e-01
128; 1; 9.0595114378651531e-01
127; 1; 9.0476800464899931e-01
196; 1; 8.9544299236705116e-01
185; 1; 8.6843984122625839e-01
126; 1; 8.1786234394234880e-01
159; 1; 8.1770897109152818e-01
116; 1; 7.9235963503943385e-01
181; 1; 7.8951599060231115e-01
